Type	CSS	Crit	Question	Answer	Verb	ID		
Critical4 NegSub	Tous les meubles d'Ikea viennent avec des notices de montage : 	personne ne lit ça en général.	Les gens ne lisent pas les notices.	V	lire	29		
Critical4 NegSub	Les oeufs sont difficiles à digérer. On en mange plutôt le matin ou le midi : 	personne ne mange ça le soir. 	Tout le monde mange des oeufs le soir.	F	manger	30		
Critical4 NegSub	Les mini-jupes sont super à la mode : 	mais personne ne met ça à l'église.	Les femmes mettent toutes des mini jupes à l'eglise.	F	mettre	31		
Critical4 NegSub	"Dans la brousse, les gens se promènent tout nu : "	personne ne voit ça ici.	On voit tous ça ici.	F	voir	32		
Control	Il y a un match de foot cet après-midi :	tout le monde va au stade.	Les gens restent tous à la maison.	F	NA	33		
Control	La leçon d'aujourd'hui n'était pas trop claire :	chaque élève avait des questions de clarification.	Les eleves n'ont pas compris la leçon.	V	NA	34		
Control	Son ordi est cassé :	Alain va en acheter un nouveau.	Alain ne veut plus d'ordinateur.	F	NA	35		
Control	Il fait vraiment très beau aujourd'hui :	tout le monde est dehors.	Les gens restent tous à l'intérieur.	F	NA	36		
Control	"Demain, c'est un long week-end :"	tout le monde part à la campagne.	Les gens profitent de la nature.	V	NA	37		
Control	Le printemps est arrivé :	tous les arbres sont en fleurs.	Il n'y a que des feuilles sur les arbres.	F	NA	38		
Control	Aujourd'hui les gens ne se parlent plus face à face :	tout le monde utilise son téléphone portable.	Les gens n'ont pas de contact direct.	V	NA	39		
Control	C'est une habitude chez nous après le diner : 	tout le monde regarde la télévision.	Les gens regardent la télévision le soir.	V	NA	40		
